country	2017-09-22T07:00:00+0000	2017-09-23T07:00:00+0000
AO	6818	6817
AR	3791	3790
AU	2348	2351
BD	4283	4284
BE	1273	1273
BO	3147	3151
BR	4383662	4385628
CA	2708	2713
CD	1091	1091
CH	1556	1556
CI	1541	1541
CO	1215	1214
DE	2592	2601
DZ	1706	1707
EG	1515	1516
ES	3243	3247
FR	2410	2412
GB	5231	5234
GH	1625	1625
GN	1128	1129
HN	1420	1423
HT	1437	1437
ID	2843	2845
IE	1683	1688
IN	6021	6024
IQ	1206	1205
IT	3274	3273
JP	5706	5706
MA	3693	3689
ML	1753	1755
MX	3969	3964
MZ	2194	2196
NG	2084	2082
NP	2019	2018
PE	1264	1264
PK	1557	1558
PT	11697	11706
PY	4339	4349
SN	2138	2137
TN	1622	1623
TR	1198	1199
US	27511	27536
UY	1086	1089
VE	964	964
VN	1610	1605
SUM	4527171	4529215
