"title","author"
"DESENVOLVIMENTO ECONÔMICO E MUDANÇA SOCIAL: a Vale e a mineração na Amazônia Oriental","Santos, Rodrigo Salles Pereira dos"
"O BANCO NACIONAL DE DESENVOLVIMENTO ECONÔMICO E SOCIAL (BNDES) E A EXPANSÃO DE EMPRESAS BRASILEIRAS DE CONSTRUÇÃO CIVIL PARA A AMÉRICA DO SUL","Kraychete, Elsa Sousa"
"DIMENSÕES DA CRISE DO SINDICALISMO BRASILEIRO","Cardoso, Adalberto Moreira"
"Habermas: da globalização da economia à globalização da política","Danner, Leno Francisco"
"Sindicato, desenvolvimento e trabalho: crise econômica e ação política no ABC","Ramalho, José Ricardo"
"Sindicato, desenvolvimento e trabalho: crise econômica e ação política no ABC","Rodrigues, Iram Jácome"
"A retomada do desenvolvimento e a regulação do mercado do trabalho no Brasil","Baltar, Paulo Eduardo de Andrade"
"A retomada do desenvolvimento e a regulação do mercado do trabalho no Brasil","Krein, José Dari"
"Estruturas sociais no semiárido e o mercado de biodiesel","Gonçalves, Yumi Kawamura"
"Estruturas sociais no semiárido e o mercado de biodiesel","Favareto, Arilson"
"Estruturas sociais no semiárido e o mercado de biodiesel","Abramovay, Ricardo"
"Sociabilidades familiares e liberdade: relações interpessoais no pós-abolição","Palma, Rogério da"
"Sociabilidades familiares e liberdade: relações interpessoais no pós-abolição","Truzzi, Oswaldo"
"Entre o estado, a sociedade e o mercado: análise dos dispositivos de governança da indústria florestal na Amazônia","Carneiro, Marcelo Domingos Sampaio"
"A privatização de uma empresa: uma ação econômica enraizada nas relações sociais","Pedroso Neto, Antonio José"
"Da filantropia ao investimento socialmente responsável: novas distinções","Sartore, Marina de Souza"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Silva, Gustavo Melo"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Neves, Jorge Alexandre Barbosa"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Silva, Gustavo Melo"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Neves, Jorge Alexandre Barbosa"
"Empreendedorismo intensivo em conhecimento no Brasil","Guimarães, Sonia K."
"Sindicato, crise econômica e estratégias regionais novas dimensões da participação política no ABC Paulista","Ramalho, José Ricardo"
"Sindicato, crise econômica e estratégias regionais novas dimensões da participação política no ABC Paulista","Rodrigues, Iram Jácome"
"Finanças, consumo e circuitos da economia urbana na cidade de São Paulo","Silveira, María Laura"
"Riqueza e desigualdades","Cattani, Antonio David"
"A associação econômica dos pobres como via de combate às desigualdades","Gaiger, Luiz Inácio Germany"
"Organização social e indicadores socioeconômicos no Brasil: um estudo exploratório","Silva, Sylvio Bandeira de Mello e"
"Organização social e indicadores socioeconômicos no Brasil: um estudo exploratório","Silva, Barbara-Christine Nentwig"
"Organização social e indicadores socioeconômicos no Brasil: um estudo exploratório","Silva, Maina Pirajá"
"Processos sociais de exclusão e políticas públicas de enfrentamento da pobreza","Lopes, José Rogério"
"Estudantes com desvantagens econômicas e educacionais e fruição da universidade","Almeida, Wilson Mesquita de"
"Economias sexuais, amor e tráfico de pessoas &#8211; novas questões conceituais","Piscitelli, Adriana"
"Economias sexuais, amor e tráfico de pessoas &#8211; novas questões conceituais","Piscitelli, Adriana"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Miskolci, Richard"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Miskolci, Richard"
"Violências e afetos: intercâmbios sexuais e econômicos na (recente) produção antropológica realizada no Brasil","Piscitelli, Adriana"
"Economia, Ideologia e Eleições na América Latina","Corrêa, Diego Sanches"
"O Estado (de Bem-Estar Social) como Ator do Desenvolvimento: Uma História das Ideias","Kerstenetzky, Celia Lessa"
"O Estado (de Bem-Estar Social) como Ator do Desenvolvimento: Uma História das Ideias","Kerstenetzky, Jaques"
"Economia, Instituições e Estado de Bem-Estar Social: Respostas à Nova Configuração do Capitalismo pós-1970","Guimarães, Alexandre Queiroz"
"Novas configurações econômicas no eixo Ásia-Pacífico e suas consequências para a América Latina: da APEC à Aliança do Pacífico","Aranda, Isabel Rodríguez"
"A RELAÇÃO ENTRE EDUCAÇÃO E DESENVOLVIMENTO ECONÔMICO NO CAPITALISMO: ELEMENTOS PARA UM DEBATE","Favaro, Neide de Almeida Lança Galvão"
"A RELAÇÃO ENTRE EDUCAÇÃO E DESENVOLVIMENTO ECONÔMICO NO CAPITALISMO: ELEMENTOS PARA UM DEBATE","Tumolo, Paulo Sergio"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Fagnani, Eduardo"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Fagnani, Eduardo"
"O Ideb: limites e ilusões de uma política educacional","Almeida, Luana Costa"
"O Ideb: limites e ilusões de uma política educacional","Dalben, Adilson"
"O Ideb: limites e ilusões de uma política educacional","Freitas, Luiz Carlos de"
"Produção do conhecimento na educação superior australiana: do acadêmico ao comercial","Meek, V. Lynn"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","Rinke, Stefan"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","Rinke, Stefan"
"Nelson Rockefeller e a atuação da American International Association for Economic and Social Development: debates sobre missão e imperialismo no Brasil, 1946-1961","Silva, Claiton Marcio da"
"Homens da cana e hospitais do açúcar: uma arquitetura da saúde no Estado Novo","Monteiro, Marcia Rocha"
"Field science in the Railroad Era: the tools of knowledge empire in the American West, 1869-1916","Vetter, Jeremy"
"A campanha contra a broca-do-café em São Paulo (1924-1927)","Silva, André Felipe Cândido da"
"Investimentos privados, impactos ambientais e qualidade de vida num empreendimento mineral amazônico: o caso da mina de manganês de Serra do Navio (Amapá)","Drummond, José Augusto"
"Os níveis de desenvolvimento socioeconômico da população da Amazônia brasileira: 1970 e 1980","Haller, Archibald O."
"Os níveis de desenvolvimento socioeconômico da população da Amazônia brasileira: 1970 e 1980","Torrecilha, Ramon S."
"Os níveis de desenvolvimento socioeconômico da população da Amazônia brasileira: 1970 e 1980","Haller, Maria Cristina del Peloso"
"Os níveis de desenvolvimento socioeconômico da população da Amazônia brasileira: 1970 e 1980","Tourinho, Manoel M."
"Lições para a história das ciências no Brasil: Instituto Pasteur de São Paulo","Ribeiro, Maria Alice Rosa"
"Administrando pessoas, recursos e rituais. Pedagogia econômica como tática de governo em Timor-Leste","Silva, Kelly"
"Modas de mulher, modos de comércio: camadas médias, cultura e economia na história do consumo moderno","Rocha, Everardo"
"Modas de mulher, modos de comércio: camadas médias, cultura e economia na história do consumo moderno","Frid, Marina"
"Modas de mulher, modos de comércio: camadas médias, cultura e economia na história do consumo moderno","Corbo, William"
"A economia simbólica dos acervos literários: itinerários de produção da crença em Cora Coralina","Britto, Clovis Carvalho"
"Modernidade seletiva e estado predador: primeira aproximação às revoltas populares em maputo de 2008 e 2010","Hernández, Héctor Guerra"
"A dinâmica do marketing de rede: relações sociais e expectativas de um novo estilo de vida","Pedroso Neto, Antonio José"
"O mundo dos bens, vinte anos depois","Douglas, Mary"
"O sistema econômico nas sociedades indígenas Guarani pré-coloniais","Souza, José Otávio Catafesto de"
"Uma sociedade em mudança: antropologia de uma ""transição"" na Bulgária","Chevalier, Sophie"
"San Francisco e a nova economia do desejo","Miskolci, Richard"
"Desenvolvimento, progresso e crescimento econômico","Bresser-Pereira, Luiz Carlos"
"Desenvolvimento, progresso e crescimento econômico","Bresser-Pereira, Luiz Carlos"
